OwnerId,OwnerName,OwnerContactInfo,OwnerEmail,VenId
072405662,Evelina Shadbolt,981-618-4110,eshadbolt0@deviantart.com,1
073906005,Jaymie Cerith,236-159-5850,jcerith1@sciencedaily.com,2
071923909,Perrine Philippart,776-504-1377,pphilippart2@tinypic.com,3
084107628,Mireielle Ketcher,882-704-3445,mketcher3@dot.gov,4
031316271,Anne-marie Clutton,412-258-0178,aclutton4@xing.com,5
031000503,Cynthea Elwel,956-665-8046,celwel5@msn.com,6
092901434,Bone Twidle,260-617-4588,btwidle6@craigslist.org,7
073907758,Sidnee Biggam,396-600-8964,sbiggam7@issuu.com,8
042207735,Wallie Ekkel,928-538-3104,wekkel8@google.cn,9
123206516,Lawton Flanders,559-366-2895,lflanders9@drupal.org,10
103104353,Ransom Pearcehouse,622-323-1065,rpearcehousea@nbcnews.com,11
071925871,Felix McCluney,130-876-7662,fmccluneyb@stumbleupon.com,12
021301869,Theodora Richings,448-809-7165,trichingsc@unc.edu,13
074903955,Griz Trusslove,259-665-9027,gtrussloved@state.gov,14
075906142,Keen La Wille,140-559-4550,klae@intel.com,15
091408501,Cos Moorerud,369-935-5443,cmoorerudf@spiegel.de,16
122243664,Evangelina Veivers,905-232-8459,eveiversg@hp.com,17
067009390,Robbi Jamson,477-835-0456,rjamsonh@ifeng.com,18
053112039,Sheelagh Paybody,129-181-4892,spaybodyi@independent.co.uk,19
104908163,Daniel Laffin,548-667-5273,dlaffinj@epa.gov,20
072403554,Cathee Oldroyde,914-145-9951,coldroydek@bloomberg.com,21
122241132,Francois Ramsbotham,245-778-2622,framsbothaml@ucoz.com,22
091405229,Manolo Boucher,731-686-4754,mboucherm@opensource.org,23
061204913,Thor de Clerq,852-203-3590,tden@geocities.jp,24
226071389,Gustie De Mars,871-113-4297,gdeo@bloglines.com,25
107002503,Laird Sam,565-463-9320,lsamp@yahoo.co.jp,26
071115801,Doti Tschierse,646-506-4928,dtschierseq@mapy.cz,27
021205871,Margaretta Dymoke,403-715-9669,mdymoker@ezinearticles.com,28
091915890,Fielding Ridewood,302-187-6358,fridewoods@twitter.com,29
022000868,Blithe Niccols,458-655-8383,bniccolst@timesonline.co.uk,30
053111577,Valaria Senton,740-881-4752,vsentonu@a8.net,31
111904998,Tiphani Barrowcliffe,217-135-7091,tbarrowcliffev@opensource.org,32
011601074,Glory Pigeram,707-568-0781,gpigeramw@cbc.ca,33
121141107,Theodosia Mannion,923-613-1068,tmannionx@mit.edu,34
071107699,Aubrey Prickett,118-259-9220,apricketty@edublogs.org,35
083905449,Maitilde Rosenkranc,329-907-4399,mrosenkrancz@deliciousdays.com,36
071925635,Peggy Duddell,906-568-6492,pduddell10@mlb.com,37
314973412,Henri Dreigher,665-464-7564,hdreigher11@people.com.cn,38
072402364,Teena Dansken,715-709-7422,tdansken12@wunderground.com,39
073920900,Nessy Le Monnier,803-483-7065,nle13@sfgate.com,40
111907717,Sammie Hallford,859-906-7968,shallford14@uiuc.edu,41
104900048,Mikkel Thody,302-277-0667,mthody15@washington.edu,42
011301536,Jacintha Fronsek,416-975-4679,jfronsek16@fema.gov,43
026013958,Duffie Peron,306-702-8365,dperon17@lycos.com,44
321175180,Aretha Spencock,514-419-3304,aspencock18@sakura.ne.jp,45
101202503,Gilberta Picot,250-688-7188,gpicot19@a8.net,46
111025084,Abbi Kivell,686-122-3661,akivell1a@angelfire.com,47
211370846,Chlo Hartly,164-740-4602,chartly1b@kickstarter.com,48
031317380,Tommi Berthel,495-455-6652,tberthel1c@cdc.gov,49
043314164,Worth Berthel,370-375-7404,wberthel1d@go.com,50
053012087,Kassandra Nary,515-365-5108,knary1e@wired.com,51
111313479,Phaidra Heims,265-120-1831,pheims1f@cbsnews.com,52
284373838,Teodor Sherel,838-911-6864,tsherel1g@boston.com,53
073921048,Carrie Beakes,308-616-7722,cbeakes1h@accuweather.com,54
243470196,Beck Sommerton,887-347-1726,bsommerton1i@tamu.edu,55
061105685,Amye Burder,681-741-4186,aburder1j@comcast.net,56
321177861,Adelina Brotherick,323-871-0976,abrotherick1k@pcworld.com,57
081307227,Anett Yakuntzov,669-146-4595,ayakuntzov1l@google.pl,58
103112329,Nichole Fitzgerald,748-874-9191,nfitzgerald1m@noaa.gov,59
